author,comment,Cleaned_Comments
@Aslan7293,Çok güzel anlatıyorsunuz👏👏 teşekkürler ilk defa bu videoyu izledim fakat ben yine de qnlamiyorum acaba ilk izlemem gereken başka bir video mu yani bunlar sıralı mı ilk defa izleyen için bu video mu başka bir videonuzu mu önerirsiniz,güzel anlatıyorsunuz teşekkürler ilk videoyu izledim fakat ben yine qnlamiyorum ilk izlemem gereken başka bir video bunlar sıralı ilk izleyen video başka bir videonuzu önerirsiniz
@ertugrul7450,Bir video izledim. Cok begendim. Takibe alacagim,bir video izledim cok begendim takibe alacagim
@bulentyldrm9692,Teşekkürler,teşekkürler
@semihosmanoglu,Emeğinize sağlık hocam 👍🏾,emeğinize sağlık hocam
@mutluzamanatolyesi-happyti7383,Çok teşekkür ederim,teşekkür ederim
@seyitcan5737,Emeklerine sağlık üstadım. Teşekkürler.,emeklerine sağlık üstadım teşekkürler
@tugrulcanbazoglu2642,"Erdem bey eğitim videolarınız gerçekten mükemmel.Şöyle bir sorum var.Bugün aylık bazda XAUUSD grafiğini incelerken yükselen trend çizgisinin lineer çizimde yukarı kırıldığını,ancak log grafikte kırılmadığını gördüm.Bu durumda hangi grafiği baz almalıyız.Tendin kırıldığını mı yoksa kırılmadığını mı kabul edeceğiz.teşekkürler.",erdem bey eğitim videolarınız gerçekten mükemmelşöyle bir sorum varbugün aylık bazda xauusd grafiğini incelerken yükselen trend çizgisinin lineer çizimde yukarı kırıldığınıancak log grafikte kırılmadığını gördümbu durumda hangi grafiği baz almalıyıztendin kırıldığını yoksa kırılmadığını kabul edeceğizteşekkürler
@mehmetkaradag9364,hocam çoğunluk  tradındview de . neden kullanmadınız..,hocam çoğunluk tradındview kullanmadınız
@mahmutakcan4257,Emeğine sağlık kardeşim,emeğine sağlık kardeşim
@Big_Dream_Trader,Ben 3 dakikalık Zaman açıp al sat yapıyorum. Dey tarde yapıyorum en iyisi  Mumlar hangi dakika olan mumlardır?,ben 3 dakikalık zaman açıp al sat yapıyorum dey tarde yapıyorum iyisi mumlar hangi dakika olan mumlardır
@omerkinaci1688,CGJGFDF,cgjgfdf
@kerim.1903,Emeğinize sağlık,emeğinize sağlık
@piendustri7610,"Video guzel,  aylık inceleme  yaptıktan sonra aynı grafık uzerınden haftalık ,saatlık, dakıkalık incelemeyıde sonuna kadar incelermisiniz",video guzel aylık inceleme yaptıktan sonra aynı grafık uzerınden haftalık saatlık dakıkalık incelemeyıde sonuna kadar incelermisiniz
@yagzguzeler7395,Dislike,dislike
@biroloztekin6142,"Acaba investing de 1 Türk hissesini usd bazinda kaydedip, üzerine indikatorler ekleyip kaydedebilir muyuz",investing 1 türk hissesini usd bazinda kaydedip üzerine indikatorler ekleyip kaydedebilir muyuz
@atillaaydogar8579,"Hocam hariaka bir anlatım, teknil öğrendikçe  bu bilgilerin ne olduğunu daha iyi anlıyor ve anlatış tarzınıza hayran kalıyorum.Teşekkürler..",hocam hariaka bir anlatım teknil öğrendikçe bilgilerin olduğunu iyi anlıyor anlatış tarzınıza hayran kalıyorumteşekkürler
@legendworldtv,Hocam sizi keşfettim bu grafik olayını sizden dinledim anladım çook saolun,hocam sizi keşfettim grafik olayını sizden dinledim anladım çook saolun
@epicmoment1559,HOCAMMM TÜRKİYEDE YAŞIYORUZZ BİR ANDA SUİKAST OLUYOR OLUYOR BOMBA PATLIYOR BORSA KALMIYOR NE CİZGİSİ,hocammm türkiyede yaşiyoruzz bir anda suikast oluyor oluyor bomba patliyor borsa kalmiyor cizgisi
@ismailrasid1501,"Hocam bu güzel video için teşekkür ederim, emeğinize sağlık! Peki hisselerde bölünmeler olabiliyor, dolayısıyla dolar bazında da grafikte fiyatı düşmüş oluyor, böyle bir durumda grafiği nasıl inceleyebiliriz?",hocam güzel video teşekkür ederim emeğinize sağlık peki hisselerde bölünmeler olabiliyor dolayısıyla dolar bazında grafikte fiyatı düşmüş oluyor böyle bir durumda grafiği inceleyebiliriz
@AhmetBahçecioğlu-u3w,"Erdem Bey videonuzu yeni izliyorum ve çok beğendim,dip ve tepeleri nasıl işaretlediniz,açıklarmısınız?",erdem bey videonuzu yeni izliyorum beğendimdip tepeleri işaretledinizaçıklarmısınız
@cemilesenturk,Emeğinize sağlık çok bilgilendirici oldu,emeğinize sağlık bilgilendirici oldu
@aliyanar4491,Bu kadar ozel bilgileri herkes saklar. Tesekkur ederiz.,kadar ozel bilgileri herkes saklar tesekkur ederiz
@tansutazegul8297,Gerçekten çok iyi,gerçekten iyi
@besiktasbjk2082,"Keşke bu kanalı daha önce keşfetmiş olsaydım.
Değerli bilgilerinizi paylaştığınız için TEŞEKKÜRLER",keşke kanalı önce keşfetmiş olsaydım değerli bilgilerinizi paylaştığınız teşekkürler
@gurcansavg6326,çok faydalı.Teşekkürler.,faydalıteşekkürler
@ibrahimkoca9460,🙏🏻emeğinize sağlık,emeğinize sağlık
@berkaytufenkci741,ellerinize sağlık. sadece keşke haftalıktan günlüğe gçtiğinizde de devam etseydiniz.,ellerinize sağlık sadece keşke haftalıktan günlüğe gçtiğinizde devam etseydiniz
@ercumentatakoglu8830,Çok teşekkür ederim kardeşim ❤,teşekkür ederim kardeşim
