author,Avg_Word2Vec
@Aslan7293,"[-3.2502734e-03  1.8307619e-03 -2.8916274e-04 -1.9924326e-03
  4.7765643e-05 -1.9990171e-03 -1.9152050e-03  4.2351177e-03
  1.1105761e-03 -1.9226155e-04  7.2660123e-04 -2.6961558e-03
  8.6957727e-05  2.7067545e-03  1.0144137e-03 -2.4003277e-03
  2.4145527e-04  8.9287595e-04 -1.3255931e-03 -3.3933701e-04
  1.0880425e-03 -5.0615898e-04  6.8356306e-04  1.7319146e-03
 -2.7165518e-03 -1.3765284e-03 -3.9904716e-04  3.3952680e-04
 -1.1678836e-03 -3.7195097e-04 -1.1764316e-04 -1.5681466e-03
  1.2524186e-03 -2.1871962e-03 -1.2961435e-03  1.4000331e-03
  1.7017866e-03 -1.9714143e-03 -1.4106892e-03  2.2774346e-03
  3.9021929e-03 -1.4846110e-03 -1.0298927e-03 -1.0267239e-03
  2.7665847e-03  1.8544749e-03 -1.0103198e-03 -2.0586895e-03
  1.0241441e-03 -8.2555949e-04 -1.3438220e-03 -2.1537107e-03
  1.7172827e-03  4.3188388e-04  1.1320305e-03  1.6627407e-03
  2.3211506e-03  1.4605310e-03  4.4090948e-03 -4.2123200e-05
 -7.6553342e-04 -5.7756284e-04  7.4809266e-04  9.0661045e-04
 -1.3731864e-03  1.4195556e-03  1.8747324e-04  2.4360396e-04
 -6.1004510e-04  1.2340295e-03 -8.0123090e-04  8.6831744e-04
  8.7028352e-04  9.9264353e-04  2.7536417e-03  2.4148566e-03
 -8.6932536e-04  3.4472704e-04 -1.4215383e-03 -4.7071502e-04
 -2.7488659e-03  4.4501264e-04  2.3397610e-03  3.9337054e-03
 -1.2683239e-03  6.7520363e-05  1.3790696e-03  2.0947272e-03
  1.1608190e-03  8.1048050e-04 -7.5705102e-05 -3.4585944e-04
  3.7520850e-04 -4.7108489e-03 -5.1890762e-04  1.1861057e-03
  2.6385502e-03 -1.2184337e-03 -8.7810692e-04  1.2590048e-03]"
@ertugrul7450,"[-4.3613706e-03  1.3631631e-03 -3.2807989e-03 -4.9662339e-03
  6.5252753e-03  2.3258869e-03  1.3440460e-03  4.0776497e-03
 -2.1213826e-03  2.5044640e-03  1.4927185e-03  3.5126528e-03
  1.6763671e-03  2.3162435e-04  3.1145050e-03 -4.5260480e-03
  1.3687747e-04  6.3505874e-04 -3.4484768e-03 -2.4162871e-03
  3.6823819e-03 -3.5942406e-03  5.2911649e-04  5.7450128e-03
 -7.1422765e-03 -2.4392689e-03  2.7309912e-03  6.6907331e-04
 -1.4478555e-03  2.4273852e-04  2.9292607e-03  5.0889968e-04
 -1.6044617e-03 -2.5116410e-03  5.7039093e-03  6.9467031e-04
 -2.5868225e-03 -2.6229185e-03 -2.7081408e-03  3.4320606e-03
  3.1234666e-03 -2.0301023e-03 -4.1148020e-03  3.2853906e-03
  5.7648169e-03  2.1402156e-03  2.7281321e-03 -7.6815940e-04
 -1.8968071e-03 -3.2691357e-03  2.6861089e-03  4.1317809e-04
  7.2861428e-04 -2.3354117e-03 -2.9030307e-03  1.7155388e-03
 -4.5140740e-03  1.0862120e-03  1.6856277e-03  5.8800494e-04
  2.9399188e-03  1.9994501e-03  5.5828027e-04  7.1178179e-04
  1.5697139e-04 -7.5454765e-04  1.4658264e-03  6.5310975e-04
 -2.5024037e-03  2.7599395e-04 -9.4205176e-04 -2.3716206e-03
 -5.0210109e-04  1.7103279e-03  2.4764640e-03  5.3195155e-04
 -1.5666409e-03  2.6848011e-03  4.5288610e-04 -2.6416704e-03
 -1.9347941e-03 -1.6729375e-03  3.3689602e-03  8.5038017e-05
 -1.9644243e-03 -4.2805728e-03  7.5116321e-03  2.4852289e-03
 -2.6725200e-03 -4.9359356e-03  6.9909031e-04 -4.7127507e-04
  4.0839901e-03  2.7548929e-04  2.7965219e-03 -3.0096113e-03
  3.6465435e-03 -3.7260430e-03 -1.8926086e-03 -1.6656461e-03]"
@bulentyldrm9692,"[-8.5703507e-03  3.6878185e-03  5.1846886e-03  5.7117185e-03
  7.4866586e-03 -6.2219803e-03  1.1306985e-03  6.0991687e-03
 -2.8749304e-03 -6.1923470e-03 -4.2920333e-04 -8.4474999e-03
 -5.5912980e-03  7.1064522e-03  3.3457254e-03  7.2420938e-03
  6.7938562e-03  7.5173313e-03 -3.8256440e-03 -6.5161823e-04
  2.3680252e-03 -4.4702832e-03  8.3950637e-03 -9.8555796e-03
  6.7313728e-03  2.9480518e-03 -4.9214242e-03  4.3789637e-03
 -1.7719301e-03  6.7240964e-03  9.9810716e-03 -4.3769148e-03
 -5.4217741e-04 -5.7337889e-03  3.8284508e-03  2.8275717e-03
  6.9004116e-03  6.0851476e-03  9.5406519e-03  9.2004379e-03
  7.9107834e-03 -7.0209834e-03 -9.1524404e-03 -3.4678215e-04
 -3.0262659e-03  7.9129068e-03  5.9385602e-03 -1.5800472e-03
  1.5218700e-03  1.7818352e-03  7.8052888e-03 -9.5178587e-03
 -1.8910918e-04  3.4551320e-03 -9.5143309e-04  8.3927512e-03
  9.0175858e-03  6.5516941e-03 -7.3900208e-04  7.7042854e-03
 -8.4855966e-03  3.1869244e-03 -4.6466808e-03 -5.0563165e-03
  3.5890646e-03  5.4430366e-03  7.7943718e-03 -5.7367529e-03
  7.4133817e-03  6.6579022e-03 -3.7451568e-03 -8.7441877e-03
  5.4621170e-03  6.5214331e-03 -7.6498464e-04 -6.6560418e-03
 -7.0777345e-03 -2.4866215e-03  5.1438008e-03 -3.6953490e-03
 -9.3707517e-03  3.8248098e-03  4.8281983e-03 -6.3930941e-03
  1.2086550e-03 -2.0707548e-03  9.5573028e-05 -9.8367501e-03
  2.7140109e-03 -4.7348840e-03  1.1218589e-03 -1.5572282e-03
  2.1881121e-03 -7.8494465e-03 -2.6588531e-03  2.6754665e-03
  5.3413115e-03 -2.4067429e-03 -9.5032752e-03  4.4804756e-03]"
@semihosmanoglu,"[-3.0347637e-03  1.8659591e-03 -8.5522811e-04 -6.1523821e-04
 -3.6794625e-03 -4.4418298e-04  2.4065524e-03  5.1691928e-03
 -6.6421810e-03 -1.4979007e-03 -7.6445594e-04 -2.4109255e-03
 -8.2118035e-04 -7.2228565e-04 -3.6332447e-05 -5.4346803e-03
  6.8821450e-04  1.7199210e-03 -6.4027035e-03 -5.5174283e-03
 -2.8784636e-03 -1.6086781e-04  3.7346240e-03 -1.0781961e-05
  2.3282738e-03 -3.9352239e-03  3.5619282e-03  4.7678594e-04
 -4.2253514e-03  2.1757672e-03  1.2521702e-03 -5.7268185e-03
 -7.4856915e-04 -6.0183206e-03 -3.6581280e-03  1.9321586e-03
  4.5866505e-03  7.8794610e-04  2.1671325e-03 -3.0238300e-03
 -1.8748265e-03 -2.2242467e-04 -5.6428178e-03  4.2983640e-05
  1.1123634e-03  3.3285306e-04 -2.2743011e-03  4.7787069e-03
 -6.7378082e-06  2.2018610e-03 -1.3568477e-03 -2.1793612e-03
 -1.1074640e-03  4.9035676e-04 -3.4094332e-03 -2.6514176e-03
  4.1835490e-03 -6.2533165e-03 -5.6897537e-03 -7.2847586e-04
  3.7546966e-03 -1.3805045e-03  4.4762865e-03 -4.7329660e-03
 -1.6839410e-03  4.9142786e-03  2.5318200e-03  4.4989414e-03
 -5.7343082e-03 -3.8273213e-04  3.9193104e-03  6.5823398e-03
  3.6148594e-03 -5.0045346e-04  1.6794384e-04  5.8068135e-03
  2.5898812e-03  2.1554860e-03 -1.7632470e-03 -1.6376741e-03
  2.5798031e-03 -4.1318554e-03  8.6852367e-04 -8.5387565e-04
 -1.7630238e-03 -4.2132586e-03 -1.1587489e-03 -9.0684026e-04
  1.1387609e-03  3.3011443e-03  2.0884802e-03  4.9572182e-03
  1.4909115e-03 -2.2665013e-03  9.2294002e-03  5.1978603e-03
 -1.5361299e-03 -5.0731380e-03  4.0188162e-03 -2.4496082e-03]"
@mutluzamanatolyesi-happyti7383,"[ 5.8972230e-04  5.4112077e-03  6.0299947e-03  9.4899964e-03
 -3.6957255e-03  4.6114926e-04 -3.4216212e-03  6.0187426e-04
 -1.4666425e-03 -6.7040767e-04 -5.6970562e-04 -1.1583746e-03
  7.9155350e-03  2.1698833e-03  1.0779158e-03  6.4070337e-05
  1.6619544e-04 -1.2820113e-03  2.7733706e-03  2.7486794e-03
  4.2880722e-04 -7.5607328e-05 -5.5552283e-03  5.2077281e-03
  4.4487491e-03  7.3368289e-03 -6.6721290e-03  4.6095159e-03
  6.9151074e-03  4.0274783e-04 -4.2980397e-04  2.3532612e-04
 -2.7620676e-04 -6.5102018e-03  3.4892987e-03 -6.0847448e-04
  3.0755447e-03 -6.7725838e-03 -5.4000425e-03  2.0714609e-03
  1.1894119e-03 -1.4374477e-03 -2.8521484e-03 -3.1306171e-03
 -6.0046609e-03 -4.5816223e-03  8.4084889e-04 -2.1679043e-03
 -6.2607843e-03 -3.3919404e-03  8.0150524e-03  6.3921302e-04
 -8.5827932e-03  5.3697843e-03 -1.7603060e-03 -2.7309498e-04
 -2.1664086e-03 -3.6195936e-03 -3.0051058e-03 -3.7605511e-03
 -5.8600507e-03  2.7245488e-03 -2.2513205e-03  7.1705794e-03
  3.1987375e-03  2.2109945e-03  2.5580532e-03  1.4753074e-03
 -3.8200787e-03  4.7941725e-03 -1.4576493e-03  4.2394260e-03
 -6.2069442e-04 -5.1051308e-03 -2.9213019e-03  2.8191064e-04
 -3.4671230e-03  2.1649422e-03  3.9817044e-03  8.4753465e-03
 -7.4268328e-03 -1.0509620e-03  8.1172492e-03 -2.7702746e-03
 -5.0641824e-03  2.9869091e-03  4.0653134e-03 -4.0153973e-04
  1.5221904e-03  2.9239992e-03  5.7777856e-03 -4.4682170e-03
 -4.1261921e-03  3.6977313e-04 -2.1535971e-03 -5.0401189e-03
 -2.9406620e-03  4.5536896e-03 -2.8849305e-03  6.1913072e-03]"
@seyitcan5737,"[-2.8457970e-03 -5.8085815e-04 -2.7870471e-03  1.8206293e-03
  1.8416173e-03  2.1937792e-03  1.6245894e-03  5.9997574e-03
 -7.0283040e-03 -1.5542303e-03 -2.5225214e-03 -4.9997349e-03
  3.5792917e-03  5.7279333e-03  8.9906255e-04  2.4337128e-03
  4.6855998e-03  3.6066733e-03 -3.8306217e-03  1.1541101e-03
 -2.2401311e-04 -6.2332582e-03 -6.9816284e-05 -9.4036879e-03
  6.0410541e-03 -2.6931986e-03  1.8671941e-03  1.1629834e-03
 -4.9598315e-03  2.1725099e-03  6.0750679e-03 -3.2553070e-03
 -4.9736393e-03  4.7330122e-05  1.4955970e-03 -7.9208832e-05
  3.0271739e-03  1.1953013e-03  4.0703542e-03  2.4284143e-03
  1.8705266e-03 -4.1245534e-03 -6.0290066e-03  4.6613491e-03
  3.5683222e-03  3.0243525e-03  8.5571338e-04 -9.2544343e-04
 -4.0619262e-03  3.0349174e-03  5.4837298e-03 -4.0513328e-03
 -5.3338497e-03 -1.6762527e-03 -1.7470223e-03  1.6104797e-03
  1.6275382e-03  3.2118361e-03 -5.4880287e-03 -1.3470881e-03
 -3.6605899e-04  1.0182175e-03 -1.7314373e-05 -2.2336033e-03
 -3.1039009e-03  2.6714795e-03  6.6045797e-03  2.5906577e-03
  2.3747748e-03  7.0029967e-03 -4.9930578e-04 -3.5821858e-03
  2.2606894e-03  2.6814912e-03 -8.4439758e-04  3.8942068e-03
  1.0020778e-03  1.8300009e-03  3.3021253e-03 -1.8704626e-03
 -3.8848047e-03 -3.7436739e-03 -1.0824692e-03  1.0512463e-03
  1.8922769e-03 -1.8849558e-03 -2.8736591e-03 -6.4532254e-03
  5.2893064e-03 -3.1932006e-03 -1.1772648e-03  4.3194890e-03
  3.9038721e-03 -2.9519282e-03  2.5051348e-03 -5.8229989e-04
  5.1594842e-03  2.7695950e-04  2.4564851e-03  9.6470508e-04]"
@tugrulcanbazoglu2642,"[-2.6800096e-04  3.1572825e-03 -6.3352328e-04 -6.4977590e-05
  1.5605990e-03 -2.4722528e-03  1.8813822e-03 -8.8859233e-06
  2.9254705e-04 -7.3686626e-04 -1.6003834e-04  5.0884541e-05
  1.9016333e-03 -9.8476489e-04 -1.0628222e-03  2.8879556e-04
  1.0681552e-03 -1.5238414e-03 -4.4522597e-04  9.3800557e-04
  6.8529206e-04  8.5279884e-05  3.8934266e-03 -1.0302411e-03
  7.2356872e-04  1.9465138e-03  7.5126893e-04 -2.7232192e-04
 -1.5214377e-03 -9.2286454e-04 -1.0807136e-03 -1.3696847e-03
  2.8696973e-03  1.9222122e-03  1.0089619e-03  2.0506191e-03
 -9.6228602e-04  9.5640938e-04 -5.1414326e-04 -1.4205356e-03
  4.2609131e-04 -1.8148458e-03 -1.3695721e-03 -1.7142174e-03
 -1.4817633e-03 -9.8990323e-04  1.7481111e-03 -2.0333584e-03
 -2.2656936e-03  5.3492404e-06  6.7511038e-04 -5.5377360e-04
  1.4295332e-03  8.0540820e-05  6.5779186e-06  3.6841643e-04
 -2.4757365e-04  1.3183795e-03 -2.6318817e-03 -2.3098942e-03
 -1.9852674e-04 -3.4586969e-03  8.6435373e-04  1.4251386e-03
  6.0372369e-04  1.1175213e-03  3.3171689e-03  1.4892424e-03
 -2.2865378e-03  1.0465039e-03 -2.5856032e-04 -3.6201510e-04
  1.0102446e-03  2.9608319e-04 -1.5327559e-03  1.2907747e-03
 -3.1749599e-04  1.9079258e-03 -3.1221393e-03  2.0276513e-03
 -5.4668461e-04  1.7137965e-03  2.1346187e-04  5.4299552e-04
 -5.6207174e-04 -2.2721619e-04  2.4506706e-03  2.1646889e-03
 -1.8316842e-04 -1.0732614e-03 -9.6980983e-04  7.8591716e-04
  3.0374655e-04 -5.6103955e-04  6.8051706e-04  1.1390697e-03
  2.8353155e-04  2.6891998e-03  2.3034879e-03 -5.6905265e-04]"
@mehmetkaradag9364,"[-4.8816387e-04  3.1060804e-04  5.1074564e-03  8.9330794e-03
 -9.2755156e-03 -7.1871313e-03  6.4711487e-03  9.0649677e-03
 -5.0487095e-03 -3.8052646e-03  7.3694047e-03 -1.6486967e-03
 -4.5331968e-03  6.5516606e-03 -4.8759226e-03 -1.8423651e-03
  2.9054275e-03  9.7028806e-04 -8.3528487e-03 -9.5645310e-03
  7.3353946e-03  5.0931666e-03  6.7789503e-03  7.8607525e-04
  6.3002822e-03 -3.3589168e-03 -9.0369635e-04  5.7433825e-03
 -7.5624981e-03 -3.9420482e-03 -7.5025517e-03 -9.6593396e-04
  9.6144015e-03 -7.3836250e-03 -2.3618722e-03 -1.9066390e-03
  8.1233056e-03 -5.9666485e-03  2.5588442e-05 -4.8420313e-03
 -9.5845154e-03  4.9823355e-03 -8.7731536e-03 -4.3926439e-03
  4.6265141e-05 -3.0827775e-04 -7.6590655e-03  9.5663862e-03
  5.0029517e-03  9.2466613e-03 -8.1949085e-03  4.4718343e-03
 -4.1288533e-03  7.8840624e-04  8.4758764e-03 -4.4616563e-03
  4.5030653e-03 -6.7943758e-03 -3.5930681e-03  9.3376311e-03
 -1.5127185e-03  3.0012807e-04 -4.1202232e-03 -7.6419264e-03
 -1.5238293e-03  2.5719260e-03 -8.2200649e-04  5.5941995e-03
 -2.8135013e-03  2.3048995e-03  5.4251715e-03  8.3731972e-03
 -1.4330921e-03 -9.1921380e-03  4.4079009e-03  6.5874017e-04
  7.4588885e-03 -7.7587232e-04 -2.6817780e-03 -8.7525584e-03
 -8.5638894e-04  2.8275026e-03  5.3431359e-03  7.1065323e-03
 -5.7203262e-03  1.8378943e-03  6.2159696e-03 -4.7396258e-03
 -3.0823362e-03  6.8212282e-03  1.6579363e-03  2.1536587e-04
  3.4877046e-03  2.6130953e-04  9.7187040e-03  5.0771190e-03
 -8.9142639e-03 -7.0497338e-03  8.9376024e-04  6.3682729e-03]"
@mahmutakcan4257,"[-5.21478301e-04  2.12697778e-05  1.24402728e-03 -1.07200968e-03
  2.58085062e-03  4.31094365e-03  6.48423098e-04  4.68660286e-03
  1.90788007e-03  1.65444659e-03 -3.97882471e-03 -6.15470624e-03
  1.48576871e-03 -3.67801148e-03 -2.52959086e-04 -7.94058014e-03
  1.84703292e-03  1.65784394e-03  1.76471798e-03 -4.31164401e-03
 -5.01764647e-04 -4.19563754e-03 -2.54110130e-03  5.19106979e-04
  1.66875997e-03  1.32660149e-03 -1.15203834e-03  4.25880821e-03
 -4.73507866e-03  9.43608291e-04  1.41894899e-03 -1.75585598e-03
  1.01879086e-04 -3.33907292e-03 -3.36905383e-03 -6.88722869e-03
  1.39867579e-05  4.02811449e-04 -9.44300089e-04  2.54057371e-03
 -4.31858608e-03  8.11954960e-05 -6.17180893e-04  2.87845917e-03
 -4.28555347e-03 -4.77647455e-03  6.50495104e-03 -2.29053362e-03
 -3.26809124e-03  2.21568649e-03  1.50999019e-03 -2.58430466e-03
 -1.37347647e-03 -1.36870984e-03 -4.36740508e-03 -2.64689396e-03
  3.28474533e-04 -2.92970426e-03 -2.27522152e-03  3.85398790e-03
  5.26614778e-04 -4.47411463e-03  7.34674698e-03  1.47713069e-03
 -5.51299006e-03  2.95625534e-03  4.11041593e-03  3.55446362e-03
 -4.81102196e-03 -2.56422587e-04  3.33438441e-03  2.96026655e-03
  4.99980710e-03 -1.61272625e-03  1.40933972e-03  3.47024784e-03
  3.47413425e-03  1.32722280e-03 -2.64975498e-03 -1.24609272e-03
 -4.34005260e-03 -1.92447042e-03 -4.64739138e-03  4.44132928e-03
 -4.46151290e-03 -4.03211219e-03  2.20459397e-03 -3.69093590e-03
  3.11947800e-03 -6.13540004e-04 -5.88813447e-04  1.88404135e-03
  7.02816062e-03 -3.35062854e-03  7.11777806e-03  3.21237673e-03
  2.47866032e-03  1.69509882e-03  2.21306947e-03 -1.51220558e-03]"
@Big_Dream_Trader,"[ 3.26404790e-03 -2.43106508e-03 -3.16083268e-03 -5.26247139e-04
  5.98384393e-03  4.15580980e-05 -1.79605570e-03  2.66953837e-04
 -5.35491097e-04 -1.02908048e-03  3.52522288e-03 -2.99170933e-04
  4.88753722e-04  1.61369983e-03  8.18878238e-04 -3.03599960e-03
  1.62897340e-03 -8.23029596e-03 -4.07452649e-03 -5.75233484e-03
 -3.32762836e-03 -1.41211890e-03  7.95165543e-04 -6.21646119e-04
  2.72776093e-03 -3.47103924e-05 -1.28035073e-03  4.62860195e-03
  1.91378567e-04 -2.64868053e-04 -3.01644765e-03 -4.11044428e-04
 -3.88321630e-03 -1.50996691e-03  2.16795877e-03 -3.59235588e-03
  4.65760822e-05 -2.47908127e-03  2.65054405e-03  1.95962237e-03
 -4.67158295e-03 -3.58646293e-03  1.78798378e-04  3.93582188e-04
 -2.15630920e-04 -4.35935479e-04 -1.51872856e-03  2.45160540e-03
  9.55159834e-04  2.65403627e-03  5.96929458e-04 -4.21484001e-03
 -8.39557324e-04  4.15926008e-03  6.63014827e-04 -2.67084525e-03
  5.59056969e-03  5.78388711e-03  2.50277901e-03  6.66740874e-04
 -6.29269925e-04 -3.44691123e-03  3.65200266e-03  2.85928790e-03
 -2.67674006e-03  1.07440945e-04 -1.15456677e-03  1.47935096e-03
 -6.59749331e-03  1.40067469e-03  1.06908905e-03  6.27790019e-03
  1.46490696e-03 -4.00794158e-03 -3.53676709e-03 -5.44682890e-03
 -1.65640877e-03  2.57959496e-03  9.16806806e-04 -2.78918073e-03
 -4.03106632e-03 -4.18865122e-04 -2.22276920e-03  3.22461687e-03
  3.03259306e-03  2.56217830e-03 -3.19980015e-03  8.19990746e-05
  3.01485951e-03  1.61839288e-03 -6.21977088e-04  2.81754253e-03
  8.82161490e-04  2.63792998e-03  3.69978324e-03  2.32344377e-03
  4.06687194e-03 -1.35310006e-03 -3.46380100e-03 -6.62890088e-04]"
